CPM,11/26/2019,2.52,2.53,2.52,2.52,508000,0
DIZ,11/26/2019,0,0,0,0,0,0
FNI,11/26/2019,1.87,1.89,1.85,1.88,1975000,337720
GEO,11/26/2019,0.209,0.209,0.2,0.205,170000,0
LC,11/26/2019,0.102,0.102,0.098,0.101,6790000,0
LCB,11/26/2019,0.104,0.104,0.104,0.104,140000,0
MA,11/26/2019,0.0084,0.0084,0.0084,0.0084,1000000,0
MAB,11/26/2019,0,0,0,0,0,0
MARC,11/26/2019,1.01,1.03,1.01,1.03,140000,0
NI,11/26/2019,1.06,1.06,1.05,1.06,3000,0
NIKL,11/26/2019,3.45,3.49,3.4,3.44,4123000,-638950
OM,11/26/2019,0.52,0.55,0.5,0.55,149000,0
ORE,11/26/2019,0.8,0.82,0.8,0.82,31000,0
PX,11/26/2019,3.38,3.39,3.28,3.39,206000,-33700
SCC,11/26/2019,20.55,22,20.55,22,2756700,18116925
UPM,11/26/2019,0.0058,0.0058,0.0058,0.0058,1000000,0
ACEX,11/26/2019,9.14,9.5,9.09,9.16,906100,-260129
OPM,11/26/2019,0.011,0.012,0.011,0.012,12000000,0
OPMB,11/26/2019,0.011,0.011,0.011,0.011,1000000,0
OV,11/26/2019,0.011,0.011,0.011,0.011,5000000,0
PXP,11/26/2019,11.32,11.32,10.78,10.8,948800,-679100
8990P,11/26/2019,97.05,97.05,97,97,5000,0
ACPA,11/26/2019,0,0,0,0,0,0
ACPB1,11/26/2019,509,509,509,509,260,0
ACPB2,11/26/2019,0,0,0,0,0,0
ALCPB,11/26/2019,0,0,0,0,0,0
ALCPC,11/26/2019,0,0,0,0,0,0
BCP,11/26/2019,0,0,0,0,0,0
DDPR,11/26/2019,100.9,100.9,100.2,100.2,206000,0
DMCP,11/26/2019,0,0,0,0,0,0
FBP,11/26/2019,0,0,0,0,0,0
FBP2,11/26/2019,971,995,970,995,200,0
FGENG,11/26/2019,110,110,109,109,1410,0
FPHPC,11/26/2019,0,0,0,0,0,0
GLOPA,11/26/2019,0,0,0,0,0,0
GLOPP,11/26/2019,500.5,500.5,500,500,2770,0
GTPPA,11/26/2019,999,999,999,999,100,0
GTPPB,11/26/2019,1000,1010,1000,1010,980,0
LRP,11/26/2019,1.03,1.03,1.03,1.03,100000,0
MWP,11/26/2019,100.1,100.1,100.1,100.1,650,0
PNX3A,11/26/2019,0,0,0,0,0,0
PNX3B,11/26/2019,104,107,104,107,880,0
PNX4,11/26/2019,1027,1029,1024,1024,1355,0
PNXP,11/26/2019,0,0,0,0,0,0
PRF2A,11/26/2019,0,0,0,0,0,0
PRF2B,11/26/2019,0,0,0,0,0,0
PRF3A,11/26/2019,1050,1050,1050,1050,2955,0
PRF3B,11/26/2019,1065,1066,1065,1066,510,0
SFIP,11/26/2019,0,0,0,0,0,0
SMC2A,11/26/2019,0,0,0,0,0,0
SMC2B,11/26/2019,0,0,0,0,0,0
SMC2C,11/26/2019,77.6,78.45,77.6,78.45,34960,0
SMC2D,11/26/2019,75.1,75.15,75.1,75.15,1006500,0
SMC2E,11/26/2019,0,0,0,0,0,0
SMC2F,11/26/2019,0,0,0,0,0,0
SMC2G,11/26/2019,75.1,75.1,75.05,75.05,27300,0
SMC2H,11/26/2019,75.3,75.3,75.3,75.3,38800,0
SMC2I,11/26/2019,75.15,75.15,75.15,75.15,250,0
SMCP1,11/26/2019,0,0,0,0,0,0
TLII,11/26/2019,0,0,0,0,0,0
TLJJ,11/26/2019,0,0,0,0,0,0
ABSP,11/26/2019,16.9,16.9,16.84,16.84,44000,-124616
GMAP,11/26/2019,5.08,5.08,5.07,5.07,324600,-1648268
LRW,11/26/2019,0,0,0,0,0,0
DNA,11/26/2019,0,0,0,0,0,0
IDC,11/26/2019,4.4,4.44,4.28,4.35,178000,47640
KPPI,11/26/2019,12.48,12.66,12.02,12.2,758800,2472
MFIN,11/26/2019,0,0,0,0,0,0
X,11/26/2019,0.91,0.91,0.88,0.91,1758000,-16020
FMETF,11/26/2019,116.6,117.2,115.8,115.8,19140,0
DMPA1,11/26/2019,10.1,10.1,10.1,10.1,120,0
DMPA2,11/26/2019,0,0,0,0,0,0
TECB2,11/26/2019,0.92,0.92,0.92,0.92,18500,0
^FINANCIAL,11/26/2019,1855.92,1869.78,1842.39,1843.39,-17.64,
^INDUSTRIAL,11/26/2019,9756.31,9850.82,9700.73,9700.73,-46.93,
^PROPERTY,11/26/2019,3994.38,4031.71,3946.6,3946.6,-50.38,
^SERVICE,11/26/2019,1541.98,1548.04,1536.15,1548.04,6.61,
^PSEI,11/26/2019,7760.38,7817.2,7707.8,7707.8,,
